"no_dokumen","judul_kerma","jenis_dokumen_kerjasama","dasar_dokumen_kerjasama","deskripsi","status_kerma","tanggal_awal","tanggal_akhir","anggaran","sumber_pendanaan","dibuat","diubah"
"602.1/24671/105.4/2021","Fasilitasi Kerjasama Pengelolaan Regional Untuk Wilayah Gerbang Kertasusila (GKS)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Fasilitasi Kerjasama Pengelolaan Regional Untuk Wilayah Gerbang Kertasusila (GKS)","Aktif","03-07-2021","30-10-2021","99880000","Dinas Propinsi","28 February 2022 05:56","28 February 2022 05:56"
"602.1/24908/105.4/2021","Perencanaan Pembebasan Lahan Untuk Intake","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Perencanaan Pembebasan Lahan Untuk Intake","Aktif","06-07-2021","03-10-2021","99770000","Dinas Propinsi","28 February 2022 05:50","28 February 2022 05:50"
"602.1/24906/105.4/2021","Perencanaan Pembebasan Lahan Untuk Jalur Pipa","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Perencanaan Pembebasan Lahan Untuk Jalur Pipa","Aktif","06-07-2021","03-10-2021","99770000","Dinas Propinsi","28 February 2022 05:45","28 February 2022 05:45"
"602.1/1688.3/KTR/PRJL/103.3/2021","Paket Pekerjaan Perencanaan Teknis di Dinas PU Bina Marga Provinsi Jawa Timur","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Perencanaan Teknis di Dinas PU Bina Marga Provinsi Jawa Timur","Aktif","07-06-2021","04-10-2021","413","Dinas Kabupaten","28 February 2022 05:28","28 February 2022 05:28"
,"DED Broncapturing Mata Air Tapak Umbulan SPAM Regional Umbulan","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan DED Broncapturing Mata Air Tapak Umbulan SPAM Regional Umbulan","Aktif","06-07-2021","03-10-2021","99275000","Dinas Propinsi","28 February 2022 05:28","28 February 2022 05:28"
"0037.1.00/IT2.IV.3/KS.00.00/2021","PENYUSUNAN DOKUMEN FEASIBILTY DAN MASTERPLAN PELABUHAN INTERNASIONAL MEKAR PUTIH","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","MELAKUKAN PENYUSUNAN DOKUMEN FEASIBILTY DAN MASTERPLAN PELABUHAN INTERNASIONAL MEKAR PUTIH","Aktif","05-04-2021","01-12-2021","1","Dinas Propinsi","28 February 2022 05:25","28 February 2022 05:25"
"602.1/24900/105.4/2021","DED Jalur Pipa Transmisi Penambahan Debit IPA SPAM Regional Umbulan","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan DED Jalur Pipa Transmisi Penambahan Debit IPA SPAM Regional Umbulan","Aktif","06-07-2021","03-10-2021","199430000","Dinas Propinsi","28 February 2022 05:24","28 February 2022 05:24"
"074/6086/201.2/2021","Penyusunan Evaluasi Hasil Pelaksanaan Pembangunan Bidang Infrastruktur dan Kewilayahan","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Evaluasi Hasil Pelaksanaan Pembangunan Bidang Infrastruktur dan Kewilayahan","Aktif","31-03-2021","29-07-2021","400","Dinas Propinsi","28 February 2022 05:20","28 February 2022 05:20"
"602.1/24702/105.4/2021","Fasilitasi Kerjasama SPAM Regional Kalimati","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Fasilitasi Kerjasama SPAM Regional Kalimati","Aktif","05-07-2021","02-10-2021","99880000","Dinas Propinsi","28 February 2022 05:17","28 February 2022 05:17"
"602.1/22800/105.4/2021","Fasilitasi Kerjasama SPAM Regional Probolinggo Lumajang","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Fasilitasi Kerjasama SPAM Regional Probolinggo Lumajang","Aktif","21-06-2021","18-09-2021","99880000","Dinas Propinsi","28 February 2022 05:10","28 February 2022 05:10"
"208/TU/101.6.14.SMA.Paw.Daha/2020 dan 0141.1.00/IT2.IV.3/KS.00.00/2020","PROGRAM TERAPAN BIDANG TEKNOLOGI INFORMASI DAN KOMUNIKASI (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","MELAKUKAN PROGRAM TERAPAN BIDANG TEKNOLOGI INFORMASI DAN KOMUNIKASI (PRODISTIK)","Tidak Aktif","02-01-2020","31-12-2020","28359582","DIPA PTN","28 June 2021 13:52","28 February 2022 05:03"
"027/0246/436.8.3/2021","Pelatihan Administrasi Pertanahan bagi Petugas Pengelola Pertanahan Daerah (P3D) gelombang 1","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Pelatihan Administrasi Pertanahan bagi Petugas Pengelola Pertanahan Daerah (P3D) gelombang 1","Aktif","30-03-2021","27-04-2021","18","Dinas Kabupaten","28 February 2022 05:00","28 February 2022 05:00"
"0068.1.00/IT2.IV.3/KS.00.00/2021","Dokumen Kajian Kelayakan Pembangunan Pelindung Pantai Tanjung Samalantakan","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Kajian Kelayakan Pembangunan Pelindung Pantai Tanjung Samalantakan","Aktif","17-06-2021","04-09-2021","299700000","Dinas Kabupaten","28 February 2022 04:47","28 February 2022 04:47"
"0068.1.00/IT2.IV.3/KS.00.00/2021","Pelatihan Administrasi Pertanahan bagi Petugas Pengelola Pertanahan Daerah (P3D) Gelombang 2","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Pelatihan Administrasi Pertanahan bagi Petugas Pengelola Pertanahan Daerah (P3D) Gelombang 2","Aktif","02-06-2021","02-06-2022","283710250","Dinas Kabupaten","28 February 2022 02:12","28 February 2022 04:43"
"496/PHI80000/2021-S0","Mengenai Penilaian Daur Hidup dan Verifikasi Data Proper","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penilaian Daur Hidup dan Verifikasi Data Proper","Aktif","19-07-2021","30-11-2021","737902000","Lainnya","28 February 2022 01:42","28 February 2022 04:41"
"0089.1.00/IT2.IV.3/KS.00.00/2021","Jasa Konsultasi Perencanaan CCTV","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Jasa Konsultasi Perencanaan CCTV","Aktif","24-06-2021","22-08-2021","74965000","Dinas Kabupaten","28 February 2022 01:33","28 February 2022 04:39"
"050/PPK-TK/ /401.110/2021","Jasa Konsultansi Pendampingan Penyusunan Revisi Rencana Tata Ruang Wilayah (RTRW) Kota Madiun","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Konsultansi Pendampingan Penyusunan Revisi Rencana Tata Ruang Wilayah (RTRW) Kota Madiun","Aktif","07-05-2021","03-12-2021","300000000","Dinas Kabupaten","28 February 2022 01:17","28 February 2022 04:38"
"0159.1.00/IT2.IV.3/KS.00.00/2021","Bimtek Program VSGA Online Digital Talent Scholarship Tahun 2021","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Bimtek Program VSGA Online Digital Talent Scholarship Tahun 2021","Aktif","23-07-2021","22-11-2021","46400000","Dinas Kabupaten","28 February 2022 00:44","28 February 2022 04:38"
"0081.1.1.00/IT2.IV.3.KS.00.03/2021","Jasa Studi Analisa dan Kajian Dermaga Dock Untuk Sandar Kapal Cargo Pengangkut IsoTank LNG Dengan Kapasitas 5.000 DWT","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Studi Analisa dan Kajian Dermaga Dock Untuk Sandar Kapal Cargo Pengangkut IsoTank LNG Dengan Kapasitas 5.000 DWT","Aktif","16-06-2021","16-11-2021","805547642","Lainnya","28 February 2022 00:31","28 February 2022 04:35"
"0059.1.00/IT2.IV.3/KS.00.00/2021","JASA KONSULTANSI PERENCANAAN PENYUSUNAN DOKUMEN INDEKS PEMBANGUNAN KESEHATAN MASYARAKAT (IPKM)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan KONSULTANSI PERENCANAAN PENYUSUNAN DOKUMEN INDEKS PEMBANGUNAN KESEHATAN MASYARAKAT (IPKM)","Aktif","21-05-2021","19-07-2021","41625100","Dinas Kabupaten","28 February 2022 00:25","28 February 2022 04:35"
"0058.1.00/IT2.IV.3/KS.00.00/2021","Jasa Konsultansi Perencanaan Penyusunan Analisis Indeks Kerukunan Umat Beragama","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Konsultansi Perencanaan Penyusunan Analisis Indeks Kerukunan Umat Beragama","Aktif","21-05-2021","19-07-2021","63173000","Dinas Kabupaten","28 February 2022 00:18","28 February 2022 04:34"
